trip_month,cohort_month,trip_year,trip_month_num,pickup_location_id,total_trips,avg_fare,total_revenue,avg_tip
2022-01-01,2022-01-01,2022,1,66,362,19.03,8916.48,2.94
2022-01-01,2022-01-01,2022,1,52,456,16.16,9728.15,2.84
2022-01-01,2022-01-01,2022,1,179,532,14.9,9683.25,1.39
2022-01-01,2022-01-01,2022,1,193,521,14.53,9298.9,1.12
2022-01-01,2022-01-01,2022,1,180,13,32.06,483.26,2.19
2022-01-01,2022-01-01,2022,1,135,32,29.99,1077.33,1.18
2022-01-01,2022-01-01,2022,1,259,29,35.98,1167.54,1.36
2022-01-01,2022-01-01,2022,1,28,104,42.93,5568.96,4.95
2022-01-01,2022-01-01,2022,1,23,21,51.24,1212.08,0.57
2022-01-01,2022-01-01,2022,1,247,207,19.47,4608.52,0.88
2022-01-01,2022-01-01,2022,1,69,129,23.81,3388.87,0.5
2022-01-01,2022-01-01,2022,1,91,104,29.66,3312.58,0.61
2022-01-01,2022-01-01,2022,1,17,209,18.42,4541.81,1.77
2022-01-01,2022-01-01,2022,1,9,11,31.43,372.63,0.03
2022-01-01,2022-01-01,2022,1,98,16,24.38,448.73,2.34
2022-01-01,2022-01-01,2022,1,19,29,49.62,1532.2,0.97
2022-01-01,2022-01-01,2022,1,55,81,44.09,3906.6,0.89
2022-01-01,2022-01-01,2022,1,205,117,35.72,4512.27,0.15
2022-01-01,2022-01-01,2022,1,218,82,32.14,2788.96,0.29
2022-01-01,2022-01-01,2022,1,248,45,31.86,1604.98,0.17
2022-01-01,2022-01-01,2022,1,108,61,44.16,2930.83,0.39
2022-01-01,2022-01-01,2022,1,16,15,41.12,685.32,2.09
2022-01-01,2022-01-01,2022,1,73,12,21.64,289.5,0.76
2022-01-01,2022-01-01,2022,1,147,33,22.57,815.09,0.36
2022-01-01,2022-01-01,2022,1,21,43,38.54,1775.66,0.13
2022-01-01,2022-01-01,2022,1,94,48,23.33,1206.55,0.38
2022-01-01,2022-01-01,2022,1,182,66,26.13,1918.68,0.48
2022-01-01,2022-01-01,2022,1,208,25,26.83,750.24,0.12
2022-01-01,2022-01-01,2022,1,27,1,70.2,77.55,0
2022-01-01,2022-01-01,2022,1,58,4,39.28,182.45,0
2022-01-01,2022-01-01,2022,1,156,5,61.54,377.49,0
2022-01-01,2022-01-01,2022,1,240,2,27.7,57,0
2022-01-01,2022-01-01,2022,1,107,58997,10.09,940044.71,2.1
2022-01-01,2022-01-01,2022,1,238,59342,10.37,944800.79,2.09
2022-01-01,2022-01-01,2022,1,88,4806,17.09,113919.64,2.76
2022-01-01,2022-01-01,2022,1,164,47700,10.65,794057.49,2.1
2022-01-01,2022-01-01,2022,1,232,2623,14.68,54922.51,2.54
2022-01-01,2022-01-01,2022,1,255,590,17.36,13805.14,3.51
2022-01-01,2022-01-01,2022,1,33,936,17.3,21554.4,3.36
2022-01-01,2022-01-01,2022,1,50,17208,10.69,281961.87,2.01
2022-01-01,2022-01-01,2022,1,211,16201,11.38,280666.18,2.24
2022-01-01,2022-01-01,2022,1,146,1434,13.32,24898.62,1.59
2022-01-01,2022-01-01,2022,1,224,3813,11.2,65065.54,2.2
2022-01-01,2022-01-01,2022,1,145,846,22.24,24561.57,3.35
2022-01-01,2022-01-01,2022,1,75,21055,10.91,321141.9,1.62
2022-01-01,2022-01-01,2022,1,168,315,21.73,7752.48,0.79
2022-01-01,2022-01-01,2022,1,152,2007,13.03,33574.17,1.6
2022-01-01,2022-01-01,2022,1,169,144,27.12,4130.59,0.18
2022-01-01,2022-01-01,2022,1,71,76,27.84,2284.92,0.42
2022-01-01,2022-01-01,2022,1,62,118,25.35,3457.15,2.37
2022-01-01,2022-01-01,2022,1,92,68,34.96,2695.73,1.33
2022-01-01,2022-01-01,2022,1,160,27,28.46,892.49,1.92
2022-01-01,2022-01-01,2022,1,83,96,18.27,2196.18,2.25
2022-01-01,2022-01-01,2022,1,11,24,43.74,1171.95,1.73
2022-01-01,2022-01-01,2022,1,121,40,29.23,1301.27,0.87
2022-01-01,2022-01-01,2022,1,26,71,23.43,1817.97,0.61
2022-01-01,2022-01-01,2022,1,250,42,25.03,1139.38,0.24
2022-01-01,2022-01-01,2022,1,63,65,32.6,2450.9,2.24
2022-01-01,2022-01-01,2022,1,200,34,38.84,1554.29,2.05
2022-01-01,2022-01-01,2022,1,225,207,23.85,5690.03,1.83
2022-01-01,2022-01-01,2022,1,64,11,67.07,781.3,1.32
2022-01-01,2022-01-01,2022,1,139,43,45.78,2212.71,1.62
2022-01-01,2022-01-01,2022,1,39,109,34.56,3982.81,0.29
2022-01-01,2022-01-01,2022,1,102,24,26.14,713.14,2.02
2022-01-01,2022-01-01,2022,1,60,31,26.29,939.16,0.55
2022-01-01,2022-01-01,2022,1,155,62,35.85,2425.4,1.17
2022-01-01,2022-01-01,2022,1,153,16,26.72,476.32,0.58
2022-01-01,2022-01-01,2022,1,35,124,27.94,3683.35,0.26
2022-01-01,2022-01-01,2022,1,77,48,26.15,1335,0.1
2022-01-01,2022-01-01,2022,1,210,95,44.87,4621.95,0.06
2022-01-01,2022-01-01,2022,1,167,65,22.12,1549.75,0.1
2022-01-01,2022-01-01,2022,1,206,2,62.08,132.8,0
2022-01-01,2022-01-01,2022,1,187,1,86.15,96,0
2022-01-01,2022-01-01,2022,1,68,58833,11.14,1006850.22,2.18
2022-01-01,2022-01-01,2022,1,70,8993,29.22,368537.31,5.25
2022-01-01,2022-01-01,2022,1,161,87204,10.37,1424011.86,2.1
2022-01-01,2022-01-01,2022,1,262,38186,10.34,615156.15,2.1
2022-01-01,2022-01-01,2022,1,236,119686,9.59,1824104.05,2.03
2022-01-01,2022-01-01,2022,1,142,79420,9.86,1239972.99,2.08
2022-01-01,2022-01-01,2022,1,113,31658,10.11,505351.88,2.17
2022-01-01,2022-01-01,2022,1,239,74786,9.89,1172059.87,2.13
2022-01-01,2022-01-01,2022,1,137,36423,10.41,589462.66,1.99
2022-01-01,2022-01-01,2022,1,170,74546,10.24,1202381.19,2.08
2022-01-01,2022-01-01,2022,1,151,25340,10.74,392396.11,1.98
2022-01-01,2022-01-01,2022,1,49,253,20.71,6397.17,2.63
2022-01-01,2022-01-01,2022,1,24,8556,11.45,138821.91,2.09
2022-01-01,2022-01-01,2022,1,42,2623,12.74,41026.68,1.09
2022-01-01,2022-01-01,2022,1,265,5882,38.76,236840.56,0.5
2022-01-01,2022-01-01,2022,1,129,457,19.47,10992.29,2.15
2022-01-01,2022-01-01,2022,1,10,453,50.8,29470.39,7.22
2022-01-01,2022-01-01,2022,1,29,37,43.73,1846.2,2.24
2022-01-01,2022-01-01,2022,1,127,141,22.43,3732.38,1.88
2022-01-01,2022-01-01,2022,1,130,193,38.13,9045.43,4.21
2022-01-01,2022-01-01,2022,1,165,65,27.09,1931.92,0.72
2022-01-01,2022-01-01,2022,1,181,640,18.82,15205.29,2.95
2022-01-01,2022-01-01,2022,1,93,225,52.64,15190,8.11
2022-01-01,2022-01-01,2022,1,196,109,30.43,3962.69,2.5
2022-01-01,2022-01-01,2022,1,76,211,30,6899.86,0.59
2022-01-01,2022-01-01,2022,1,18,61,42.6,2998.34,3.63
2022-01-01,2022-01-01,2022,1,3,24,29.78,810.52,0.51
2022-01-01,2022-01-01,2022,1,257,38,27.1,1294.32,2.49
2022-01-01,2022-01-01,2022,1,203,56,53.82,3255.7,0.95
2022-01-01,2022-01-01,2022,1,217,74,15.46,1412.12,1.52
2022-01-01,2022-01-01,2022,1,184,3,24.33,113.67,5.56
2022-01-01,2022-01-01,2022,1,175,8,25.34,262.64,1.79
2022-01-01,2022-01-01,2022,1,183,26,28.84,850.24,0.7
2022-01-01,2022-01-01,2022,1,174,82,29.15,2646.58,0.63
2022-01-01,2022-01-01,2022,1,59,1,35.66,52.32,9.31
2022-01-01,2022-01-01,2022,1,254,91,34.61,3437.18,0.16
2022-01-01,2022-01-01,2022,1,235,91,29.43,2890.99,0.17
2022-01-01,2022-01-01,2022,1,101,32,61.27,2094.77,0.37
2022-01-01,2022-01-01,2022,1,122,26,40.06,1106.38,0.19
2022-01-01,2022-01-01,2022,1,117,72,52.29,4055.53,0
2022-01-01,2022-01-01,2022,1,81,34,37.57,1371.12,0
2022-01-01,2022-01-01,2022,1,30,2,11.25,32.95,0
2022-01-01,2022-01-01,2022,1,143,33531,10.03,525514.49,2.02
